"category","key","expected_path","trait_1","trait_2","trait_3","direction"
"hair","short/defined-waves/copper","public/beauty-dna-package/matrix/hair/short/defined-waves/copper.webp","short","defined-waves","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/dark-brown","public/beauty-dna-package/matrix/hair/short/defined-waves/dark-brown.webp","short","defined-waves","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/light-brown","public/beauty-dna-package/matrix/hair/short/defined-waves/light-brown.webp","short","defined-waves","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/short/defined-waves/light-brown-plus-highlights.webp","short","defined-waves","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/balayage","public/beauty-dna-package/matrix/hair/short/defined-waves/balayage.webp","short","defined-waves","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/defined-waves/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/short/defined-waves/dark-brown-plus-almond-highlights.webp","short","defined-waves","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/black","public/beauty-dna-package/matrix/hair/short/curls/black.webp","short","curls","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/blonde","public/beauty-dna-package/matrix/hair/short/curls/blonde.webp","short","curls","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/copper","public/beauty-dna-package/matrix/hair/short/curls/copper.webp","short","curls","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/dark-brown","public/beauty-dna-package/matrix/hair/short/curls/dark-brown.webp","short","curls","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/light-brown","public/beauty-dna-package/matrix/hair/short/curls/light-brown.webp","short","curls","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/short/curls/light-brown-plus-highlights.webp","short","curls","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/balayage","public/beauty-dna-package/matrix/hair/short/curls/balayage.webp","short","curls","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/curls/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/short/curls/dark-brown-plus-almond-highlights.webp","short","curls","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/black","public/beauty-dna-package/matrix/hair/short/blowout/black.webp","short","blowout","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/blonde","public/beauty-dna-package/matrix/hair/short/blowout/blonde.webp","short","blowout","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/copper","public/beauty-dna-package/matrix/hair/short/blowout/copper.webp","short","blowout","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/dark-brown","public/beauty-dna-package/matrix/hair/short/blowout/dark-brown.webp","short","blowout","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/light-brown","public/beauty-dna-package/matrix/hair/short/blowout/light-brown.webp","short","blowout","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/short/blowout/light-brown-plus-highlights.webp","short","blowout","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/balayage","public/beauty-dna-package/matrix/hair/short/blowout/balayage.webp","short","blowout","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","short/blowout/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/short/blowout/dark-brown-plus-almond-highlights.webp","short","blowout","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/black","public/beauty-dna-package/matrix/hair/medium/soft-waves/black.webp","medium","soft-waves","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/blonde","public/beauty-dna-package/matrix/hair/medium/soft-waves/blonde.webp","medium","soft-waves","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/copper","public/beauty-dna-package/matrix/hair/medium/soft-waves/copper.webp","medium","soft-waves","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/dark-brown","public/beauty-dna-package/matrix/hair/medium/soft-waves/dark-brown.webp","medium","soft-waves","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/light-brown","public/beauty-dna-package/matrix/hair/medium/soft-waves/light-brown.webp","medium","soft-waves","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/medium/soft-waves/light-brown-plus-highlights.webp","medium","soft-waves","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/balayage","public/beauty-dna-package/matrix/hair/medium/soft-waves/balayage.webp","medium","soft-waves","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/soft-waves/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/medium/soft-waves/dark-brown-plus-almond-highlights.webp","medium","soft-waves","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/black","public/beauty-dna-package/matrix/hair/medium/defined-waves/black.webp","medium","defined-waves","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/blonde","public/beauty-dna-package/matrix/hair/medium/defined-waves/blonde.webp","medium","defined-waves","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/copper","public/beauty-dna-package/matrix/hair/medium/defined-waves/copper.webp","medium","defined-waves","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/dark-brown","public/beauty-dna-package/matrix/hair/medium/defined-waves/dark-brown.webp","medium","defined-waves","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/light-brown","public/beauty-dna-package/matrix/hair/medium/defined-waves/light-brown.webp","medium","defined-waves","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/medium/defined-waves/light-brown-plus-highlights.webp","medium","defined-waves","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/balayage","public/beauty-dna-package/matrix/hair/medium/defined-waves/balayage.webp","medium","defined-waves","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/defined-waves/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/medium/defined-waves/dark-brown-plus-almond-highlights.webp","medium","defined-waves","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/black","public/beauty-dna-package/matrix/hair/medium/curls/black.webp","medium","curls","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/blonde","public/beauty-dna-package/matrix/hair/medium/curls/blonde.webp","medium","curls","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/copper","public/beauty-dna-package/matrix/hair/medium/curls/copper.webp","medium","curls","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/dark-brown","public/beauty-dna-package/matrix/hair/medium/curls/dark-brown.webp","medium","curls","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/light-brown","public/beauty-dna-package/matrix/hair/medium/curls/light-brown.webp","medium","curls","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/medium/curls/light-brown-plus-highlights.webp","medium","curls","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/balayage","public/beauty-dna-package/matrix/hair/medium/curls/balayage.webp","medium","curls","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/curls/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/medium/curls/dark-brown-plus-almond-highlights.webp","medium","curls","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/black","public/beauty-dna-package/matrix/hair/medium/blowout/black.webp","medium","blowout","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/blonde","public/beauty-dna-package/matrix/hair/medium/blowout/blonde.webp","medium","blowout","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/copper","public/beauty-dna-package/matrix/hair/medium/blowout/copper.webp","medium","blowout","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/dark-brown","public/beauty-dna-package/matrix/hair/medium/blowout/dark-brown.webp","medium","blowout","dark-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/light-brown","public/beauty-dna-package/matrix/hair/medium/blowout/light-brown.webp","medium","blowout","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/medium/blowout/light-brown-plus-highlights.webp","medium","blowout","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/balayage","public/beauty-dna-package/matrix/hair/medium/blowout/balayage.webp","medium","blowout","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","medium/blowout/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/medium/blowout/dark-brown-plus-almond-highlights.webp","medium","blowout","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/black","public/beauty-dna-package/matrix/hair/long/soft-waves/black.webp","long","soft-waves","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/blonde","public/beauty-dna-package/matrix/hair/long/soft-waves/blonde.webp","long","soft-waves","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/copper","public/beauty-dna-package/matrix/hair/long/soft-waves/copper.webp","long","soft-waves","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/light-brown","public/beauty-dna-package/matrix/hair/long/soft-waves/light-brown.webp","long","soft-waves","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/long/soft-waves/light-brown-plus-highlights.webp","long","soft-waves","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/balayage","public/beauty-dna-package/matrix/hair/long/soft-waves/balayage.webp","long","soft-waves","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/soft-waves/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/long/soft-waves/dark-brown-plus-almond-highlights.webp","long","soft-waves","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/black","public/beauty-dna-package/matrix/hair/long/defined-waves/black.webp","long","defined-waves","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/blonde","public/beauty-dna-package/matrix/hair/long/defined-waves/blonde.webp","long","defined-waves","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/copper","public/beauty-dna-package/matrix/hair/long/defined-waves/copper.webp","long","defined-waves","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/light-brown","public/beauty-dna-package/matrix/hair/long/defined-waves/light-brown.webp","long","defined-waves","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/long/defined-waves/light-brown-plus-highlights.webp","long","defined-waves","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/balayage","public/beauty-dna-package/matrix/hair/long/defined-waves/balayage.webp","long","defined-waves","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/defined-waves/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/long/defined-waves/dark-brown-plus-almond-highlights.webp","long","defined-waves","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/black","public/beauty-dna-package/matrix/hair/long/curls/black.webp","long","curls","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/blonde","public/beauty-dna-package/matrix/hair/long/curls/blonde.webp","long","curls","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/copper","public/beauty-dna-package/matrix/hair/long/curls/copper.webp","long","curls","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/light-brown","public/beauty-dna-package/matrix/hair/long/curls/light-brown.webp","long","curls","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/long/curls/light-brown-plus-highlights.webp","long","curls","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/balayage","public/beauty-dna-package/matrix/hair/long/curls/balayage.webp","long","curls","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/curls/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/long/curls/dark-brown-plus-almond-highlights.webp","long","curls","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/black","public/beauty-dna-package/matrix/hair/long/blowout/black.webp","long","blowout","black","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/blonde","public/beauty-dna-package/matrix/hair/long/blowout/blonde.webp","long","blowout","blonde","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/copper","public/beauty-dna-package/matrix/hair/long/blowout/copper.webp","long","blowout","copper","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/light-brown","public/beauty-dna-package/matrix/hair/long/blowout/light-brown.webp","long","blowout","light-brown","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/light-brown-plus-highlights","public/beauty-dna-package/matrix/hair/long/blowout/light-brown-plus-highlights.webp","long","blowout","light-brown-plus-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/balayage","public/beauty-dna-package/matrix/hair/long/blowout/balayage.webp","long","blowout","balayage","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"hair","long/blowout/dark-brown-plus-almond-highlights","public/beauty-dna-package/matrix/hair/long/blowout/dark-brown-plus-almond-highlights.webp","long","blowout","dark-brown-plus-almond-highlights","Same model, front-facing salon portrait, same pose/crop/lighting for every hair combo. Real hairstyle/color result; do not fake it with a color overlay or zoom crop."
"nails","short/round/burgundy","public/beauty-dna-package/matrix/nails/short/round/burgundy.webp","short","round","burgundy","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/round/mocha-chrome","public/beauty-dna-package/matrix/nails/short/round/mocha-chrome.webp","short","round","mocha-chrome","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/oval/red","public/beauty-dna-package/matrix/nails/short/oval/red.webp","short","oval","red","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/oval/french","public/beauty-dna-package/matrix/nails/short/oval/french.webp","short","oval","french","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/oval/burgundy","public/beauty-dna-package/matrix/nails/short/oval/burgundy.webp","short","oval","burgundy","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/oval/funny-bunny","public/beauty-dna-package/matrix/nails/short/oval/funny-bunny.webp","short","oval","funny-bunny","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/oval/mocha-chrome","public/beauty-dna-package/matrix/nails/short/oval/mocha-chrome.webp","short","oval","mocha-chrome","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/square/red","public/beauty-dna-package/matrix/nails/short/square/red.webp","short","square","red","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/square/french","public/beauty-dna-package/matrix/nails/short/square/french.webp","short","square","french","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/square/burgundy","public/beauty-dna-package/matrix/nails/short/square/burgundy.webp","short","square","burgundy","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/square/funny-bunny","public/beauty-dna-package/matrix/nails/short/square/funny-bunny.webp","short","square","funny-bunny","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/square/mocha-chrome","public/beauty-dna-package/matrix/nails/short/square/mocha-chrome.webp","short","square","mocha-chrome","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/almond/red","public/beauty-dna-package/matrix/nails/short/almond/red.webp","short","almond","red","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/almond/french","public/beauty-dna-package/matrix/nails/short/almond/french.webp","short","almond","french","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/almond/burgundy","public/beauty-dna-package/matrix/nails/short/almond/burgundy.webp","short","almond","burgundy","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/almond/funny-bunny","public/beauty-dna-package/matrix/nails/short/almond/funny-bunny.webp","short","almond","funny-bunny","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/almond/mocha-chrome","public/beauty-dna-package/matrix/nails/short/almond/mocha-chrome.webp","short","almond","mocha-chrome","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/coffin/red","public/beauty-dna-package/matrix/nails/short/coffin/red.webp","short","coffin","red","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/coffin/french","public/beauty-dna-package/matrix/nails/short/coffin/french.webp","short","coffin","french","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/coffin/burgundy","public/beauty-dna-package/matrix/nails/short/coffin/burgundy.webp","short","coffin","burgundy","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/coffin/funny-bunny","public/beauty-dna-package/matrix/nails/short/coffin/funny-bunny.webp","short","coffin","funny-bunny","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
"nails","short/coffin/mocha-chrome","public/beauty-dna-package/matrix/nails/short/coffin/mocha-chrome.webp","short","coffin","mocha-chrome","Same hand, same angle, same background and lighting for every nail combo. Real manicure length/shape/color; keep the hand elegant and centered."
